,time_x,event_name,holiday,date,jalali_date
269,۱۳ آبان,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2020-11-03,1399-08-13
270,۲۸ دی,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2021-01-17,1399-10-28
271,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2021-02-10,1399-11-22
272,۷ اسفند,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2021-02-25,1399-12-07
273,۲۱ اسفند,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2021-03-11,1399-12-21
274,۲۹ اسفند,روز ملی شدن صنعت نفت ایران ,1,2021-03-19,1399-12-29
275,۳۰ اسفند,آخرین روز سال,1,2021-03-20,1399-12-30
276,۱ فروردین,جشن نوروز/جشن سال نو ,1,2021-03-21,1400-01-01
277,۲ فروردین,عیدنوروز ,1,2021-03-22,1400-01-02
278,۳ فروردین,عیدنوروز ,1,2021-03-23,1400-01-03
279,۴ فروردین,عیدنوروز ,1,2021-03-24,1400-01-04
280,۹ فروردین,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2021-03-29,1400-01-09
281,۱۲ فروردین,روز جمهوری اسلامی ,1,2021-04-01,1400-01-12
282,۱۳ فروردین,جشن سیزده به در,1,2021-04-02,1400-01-13
283,۱۴ اردیبهشت,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2021-05-04,1400-02-14
284,۲۳ اردیبهشت,عید سعید فطر [ ١ شوال ],1,2021-05-13,1400-02-23
285,۲۴ اردیبهشت,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2021-05-14,1400-02-24
286,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2021-06-04,1400-03-14
287,۱۵ خرداد,قیام 15 خرداد ,1,2021-06-05,1400-03-15
288,۱۶ خرداد,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2021-06-06,1400-03-16
289,۳۰ تیر,عید سعید قربان [ ١٠ ذوالحجه ],1,2021-07-21,1400-04-30
290,۷ اَمرداد,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2021-07-29,1400-05-07
291,۲۷ اَمرداد,تاسوعای حسینی [ ٩ محرم ],1,2021-08-18,1400-05-27
292,۲۸ اَمرداد,عاشورای حسینی [ ١٠ محرم ],1,2021-08-19,1400-05-28
293,۵ مهر,اربعین حسینی [ ٢٠ صفر ],1,2021-09-27,1400-07-05
294,۱۳ مهر,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2021-10-05,1400-07-13
295,۱۵ مهر,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2021-10-07,1400-07-15
296,۲۳ مهر,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2021-10-15,1400-07-23
297,۲ آبان,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2021-10-24,1400-08-02
298,۱۶ دی,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2022-01-06,1400-10-16
299,۲۲ بهمن,پیروزی انقلاب اسلامی ,1,2022-02-11,1400-11-22
300,۲۶ بهمن,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2022-02-15,1400-11-26
301,۱۰ اسفند,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2022-03-01,1400-12-10
302,۲۷ اسفند,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2022-03-18,1400-12-27
303,۲۹ اسفند,روز ملی شدن صنعت نفت ایران,1,2022-03-20,1400-12-29
304,۱ فروردین,جشن نوروز/جشن سال نو ,1,2022-03-21,1401-01-01
305,۲ فروردین,عیدنوروز ,1,2022-03-22,1401-01-02
306,۳ فروردین,عیدنوروز ,1,2022-03-23,1401-01-03
307,۴ فروردین,عیدنوروز ,1,2022-03-24,1401-01-04
308,۱۲ فروردین,روز جمهوری اسلامی ,1,2022-04-01,1401-01-12
309,۱۳ فروردین,جشن سیزده به در,1,2022-04-02,1401-01-13
310,۳ اردیبهشت,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2022-04-23,1401-02-03
311,۱۳ اردیبهشت,عید سعید فطر [ ١ شوال ],1,2022-05-03,1401-02-13
312,۱۴ اردیبهشت,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2022-05-04,1401-02-14
313,۶ خرداد,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2022-05-27,1401-03-06
314,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2022-06-04,1401-03-14
315,۱۵ خرداد,قیام 15 خرداد,1,2022-06-05,1401-03-15
316,۱۹ تیر,عید سعید قربان [ ١٠ ذوالحجه ],1,2022-07-10,1401-04-19
317,۲۷ تیر,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2022-07-18,1401-04-27
318,۱۶ اَمرداد,تاسوعای حسینی [ ٩ محرم ],1,2022-08-07,1401-05-16
319,۱۷ اَمرداد,عاشورای حسینی [ ١٠ محرم ],1,2022-08-08,1401-05-17
320,۲۶ شهریور ,اربعین حسینی [ ٢٠ صفر ],1,2022-09-17,1401-06-26
321,۳ مهر,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2022-09-25,1401-07-03
322,۵ مهر,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2022-09-27,1401-07-05
323,۱۳ مهر,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2022-10-05,1401-07-13
324,۲۲ مهر,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2022-10-14,1401-07-22
325,۶ دی,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2022-12-27,1401-10-06
326,۱۵ بهمن,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2023-02-04,1401-11-15
327,۲۲ بهمن,پیروزی انقلاب اسلامی ,1,2023-02-11,1401-11-22
328,۲۹ بهمن,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2023-02-18,1401-11-29
329,۱۷ اسفند,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2023-03-08,1401-12-17
330,۲۹ اسفند,روز ملی شدن صنعت نفت ایران,1,2023-03-20,1401-12-29
