,time_x,event_name,holiday,date,jalali_date
62,۳ خرداد,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2013-05-24,1392-03-03
63,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2013-06-04,1392-03-14
64,۱۵ خرداد,قیام 15 خرداد ,1,2013-06-05,1392-03-15
65,۱۷ خرداد,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2013-06-07,1392-03-17
66,۳ تیر,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2013-06-24,1392-04-03
67,۸ اَمرداد,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2013-07-30,1392-05-08
68,۱۸ اَمرداد,عید سعید فطر [ ١ شوال ],1,2013-08-09,1392-05-18
69,۱۹ اَمرداد,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2013-08-10,1392-05-19
70,۱۱ شهریور ,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2013-09-02,1392-06-11
71,۲۴ مهر,عید سعید قربان [ ١٠ ذوالحجه ],1,2013-10-16,1392-07-24
72,۲ آبان,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2013-10-24,1392-08-02
73,۲۲ آبان,تاسوعای حسینی [ ٩ محرم ],1,2013-11-13,1392-08-22
74,۲۳ آبان,عاشورای حسینی [ ١٠ محرم ],1,2013-11-14,1392-08-23
75,۲ دی,اربعین حسینی [ ٢٠ صفر ],1,2013-12-23,1392-10-02
76,۱۰ دی,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2013-12-31,1392-10-10
77,۱۲ دی,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2014-01-02,1392-10-12
78,۲۰ دی,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2014-01-10,1392-10-20
79,۲۹ دی,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2014-01-19,1392-10-29
80,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2014-02-11,1392-11-22
81,۲۹ اسفند,روز ملی شدن صنعت نفت ایران,1,2014-03-20,1392-12-29
82,۱ فروردین,جشن نوروز/جشن سال نو ,1,2014-03-21,1393-01-01
83,۲ فروردین,عیدنوروز ,1,2014-03-22,1393-01-02
84,۳ فروردین,عیدنوروز ,1,2014-03-23,1393-01-03
85,۴ فروردین,عیدنوروز ,1,2014-03-24,1393-01-04
86,۱۲ فروردین,روز جمهوری اسلامی ,1,2014-04-01,1393-01-12
87,۱۳ فروردین,جشن سیزده به در ,1,2014-04-02,1393-01-13
88,۱۴ فروردین,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2014-04-03,1393-01-14
89,۲۳ اردیبهشت,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2014-05-13,1393-02-23
90,۶ خرداد,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2014-05-27,1393-03-06
91,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2014-06-04,1393-03-14
92,۱۵ خرداد,قیام 15 خرداد ,1,2014-06-05,1393-03-15
93,۲۳ خرداد,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2014-06-13,1393-03-23
94,۲۸ تیر,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2014-07-19,1393-04-28
95,۷ اَمرداد,عید سعید فطر [ ١ شوال ],1,2014-07-29,1393-05-07
96,۸ اَمرداد,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2014-07-30,1393-05-08
97,۳۱ اَمرداد,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2014-08-22,1393-05-31
98,۱۳ مهر,عید سعید قربان [ ١٠ ذوالحجه ],1,2014-10-05,1393-07-13
99,۲۱ مهر,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2014-10-13,1393-07-21
100,۱۲ آبان,تاسوعای حسینی [ ٩ محرم ],1,2014-11-03,1393-08-12
101,۱۳ آبان,عاشورای حسینی [ ١٠ محرم ],1,2014-11-04,1393-08-13
102,۲۲ آذر,اربعین حسینی [ ٢٠ صفر ],1,2014-12-13,1393-09-22
103,۳۰ آذر,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2014-12-21,1393-09-30
104,۲ دی,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2014-12-23,1393-10-02
105,۱۰ دی,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2014-12-31,1393-10-10
